product-id,product-name,ext-prim-category-id,primary-product-category-id,categories,remove-from-categories,product-sku,parent-product-sku,position,short-description,long-description,list-price,hsn-code,start-selling-date,is-serialized,is-digital,product-type,weight,weight-uom-id,height,width,depth,dimension-uom-id,product-url-name,publish,sales-channel,bar-code,MPN,currency-uom-id,features,features-options,good-identifications,attributes,brand-name,image,additional-images,charge-shipping,shipping-weight,tags,remove-tags,taxable,comments
,Order Protection - $5.70,,,,,Order Protection10,julep-7325049683991,11,,,5.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$5.70,SHOPIFY_PROD_ID:41643225120791,,Julep,,,,,,,,
,Order Protection - $6.20,,,,,Order Protection11,julep-7325049683991,12,,,6.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$6.20,SHOPIFY_PROD_ID:41643225153559,,Julep,,,,,,,,
,Order Protection - $6.70,,,,,Order Protection12,julep-7325049683991,13,,,6.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$6.70,SHOPIFY_PROD_ID:41643225186327,,Julep,,,,,,,,
,Order Protection - $7.20,,,,,Order Protection13,julep-7325049683991,14,,,7.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$7.20,SHOPIFY_PROD_ID:41643225219095,,Julep,,,,,,,,
,Order Protection - $7.70,,,,,Order Protection14,julep-7325049683991,15,,,7.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$7.70,SHOPIFY_PROD_ID:41643225251863,,Julep,,,,,,,,
,Order Protection - $8.20,,,,,Order Protection15,julep-7325049683991,16,,,8.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$8.20,SHOPIFY_PROD_ID:41643225284631,,Julep,,,,,,,,
,Order Protection - $8.70,,,,,Order Protection16,julep-7325049683991,17,,,8.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$8.70,SHOPIFY_PROD_ID:41643225317399,,Julep,,,,,,,,
,Order Protection - $9.20,,,,,Order Protection17,julep-7325049683991,18,,,9.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$9.20,SHOPIFY_PROD_ID:41643225350167,,Julep,,,,,,,,
,Order Protection - $9.70,,,,,Order Protection18,julep-7325049683991,19,,,9.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$9.70,SHOPIFY_PROD_ID:41643225382935,,Julep,,,,,,,,
,Order Protection - $10.20,,,,,Order Protection19,julep-7325049683991,20,,,10.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$10.20,SHOPIFY_PROD_ID:41643225415703,,Julep,,,,,,,,
,Order Protection - $10.70,,,,,Order Protection20,julep-7325049683991,21,,,10.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$10.70,SHOPIFY_PROD_ID:41643225448471,,Julep,,,,,,,,
,Order Protection - $11.20,,,,,Order Protection21,julep-7325049683991,22,,,11.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$11.20,SHOPIFY_PROD_ID:41643225481239,,Julep,,,,,,,,
,Order Protection - $11.70,,,,,Order Protection22,julep-7325049683991,23,,,11.70,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$11.70,SHOPIFY_PROD_ID:41643225514007,,Julep,,,,,,,,
,Order Protection - $12.20,,,,,Order Protection23,julep-7325049683991,24,,,12.20,,,,,FINISHED_GOOD,,,,,,,,Y,Company,,,,Brand|title,Julep|$12.20,SHOPIFY_PROD_ID:41643225546775,,Julep,,,,,,,,
